Date,District,Market,Variety,Min_Price,Max_Price,Modal_Price
20-Jan-26,Shimoga,Shimoga,Saraku,57350,99800,85199
20-Jan-26,Shimoga,Shimoga,Bette,54510,67199,64000
20-Jan-26,Shimoga,Shimoga,Rashi,50110,56700,55899
20-Jan-26,Shimoga,Shimoga,Gorabalu,26166,41699,39500
20-Jan-26,Davangere,Channagiri,Rashi,52679,57300,55416
20-Jan-26,Davangere,Davangere,Rashi,55508,55508,55508
20-Jan-26,Uttara Kannada,Sirsi,Chali,47299,51799,49500
20-Jan-26,Dakshina Kannada,Puttur,Old Variety,47980,53500,50000
19-Jan-26,Shimoga,Thirthahalli,Hasa,68300,91019,80709
19-Jan-26,Uttara Kannada,Yellapura,Api,66000,68119,67000
19-Jan-26,Chikkamagaluru,Koppa,Hasa,63499,89169,82038
17-Jan-26,Shimoga,Shikaripura,Rashi Idi,47666,55569,53266
15-Jan-26,Tumkur,Tumkur,Rashi,50800,53000,51600
12-Jan-26,Uttara Kannada,Kumta,Bilegotu,17699,33345,26900
09-Jan-26,Shimoga,Sagar,Cqca,10199,34470,32199
01-Jan-26,Shimoga,Shimoga,Bette,48100,57599,56609
28-Dec-25,Davangere,Honnali,EDI,25100,27500,26724
19-Dec-25,Shimoga,Shimoga,Saraku,61009,66030,61009
18-Dec-25,Uttara Kannada,Sirsi,Rashi,48299,55800,54500
11-Dec-25,Tumkur,Tumkur,Churu,52000,55700,53800
01-Dec-25,Shimoga,Shimoga,Rashi,43199,59299,58559
28-Nov-25,Shimoga,Shimoga,Saraku,60009,92040,91410
19-Nov-25,Davangere,Channagiri,Rashi,53512,59319,56655
18-Nov-25,Dakshina Kannada,Puttur,New Variety,26000,40000,30500
04-Nov-25,Shimoga,Shimoga,Bette,56100,76009,72514
04-Nov-25,Shimoga,Shimoga,Saraku,60007,91896,82500
19-Sep-25,Shimoga,Shimoga,Saraku,56109,84440,70275
15-Aug-25,Uttara Kannada,Sirsi,Chali,40500,48000,45200
26-May-25,Uttara Kannada,Yellapura,Api,62600,62600,62600
26-May-25,Shimoga,Sagar,Chali,26199,39499,37599
23-May-25,Shimoga,Shimoga,Saraku,61009,91240,70140
13-Mar-25,Shimoga,Shimoga,Saraku,53100,93996,74199
13-Mar-25,Shimoga,Shimoga,Rashi,40009,52389,50289
20-Jan-26,Chitradurga,Chitradurga,Rashi,52039,52469,52289
15-Sep-25,Uttara Kannada,Sirsi,Chali,45500,50800,48200
12-Sep-25,Shimoga,Sagar,Kempugotu,33500,38000,36000
10-Sep-25,Davangere,Channagiri,Rashi,52800,56500,55100
08-Sep-25,Chikkamagaluru,Koppa,Gorabalu,28000,31500,30200
05-Sep-25,Shimoga,Shimoga,Saraku,65000,91000,86500
02-Sep-25,Dakshina Kannada,Puttur,New Variety,28500,47000,32500
30-Aug-25,Uttara Kannada,Yellapura,Api,66500,70500,69000
28-Aug-25,Tumkur,Tumkur,Rashi,51000,54500,53200
25-Aug-25,Shimoga,Thirthahalli,Hasa,72000,89500,84000
22-Aug-25,Davangere,Honnali,EDI,24800,26500,25900
20-Aug-25,Uttara Kannada,Sirsi,Rashi,47800,56800,53900
18-Aug-25,Chitradurga,Chitradurga,Api,55200,56300,55800
15-Aug-25,Shimoga,Shimoga,Bette,56500,66800,64200
12-Aug-25,Dakshina Kannada,Mangaluru,White Areca,33500,36500,35000
10-Aug-25,Udupi,Kundapura,Hale Chali,52000,55000,53500
08-Aug-25,Shimoga,Sagar,Chali,42800,45200,44100
05-Aug-25,Chikkamagaluru,Sringeri,Rashi Idi,47500,56800,55200
02-Aug-25,Uttara Kannada,Siddapur,Chali,36000,37800,37100
30-Jul-25,Davangere,Davangere,Rashi,54500,55600,55100
28-Jul-25,Shimoga,Shimoga,Rashi,51500,57500,56200
25-Jul-25,Chitradurga,Holalkere,Rashi,57500,59500,58700
22-Jul-25,Dakshina Kannada,Puttur,Old Variety,49500,55000,53200
20-Jul-25,Uttara Kannada,Kumta,Hosa Chali,41500,44200,43000
18-Jul-25,Shimoga,Thirthahalli,Gorabalu,34500,40500,38800
15-Jul-25,Tumkur,Tumkur,Churu,51800,55500,54000
12-Jul-25,Uttara Kannada,Sirsi,Bette,29800,38200,34500
10-Jul-25,Shimoga,Bhadravathi,New Rashi Idi,48500,55200,52800
08-Jul-25,Chikkamagaluru,Koppa,Hasa,66000,88500,81200
05-Jul-25,Davangere,Channagiri,Rashi,53000,56900,55500
02-Jul-25,Shimoga,Shimoga,Saraku,63000,88000,84500
30-Jun-25,Uttara Kannada,Yellapura,Kempugotu,18500,41000,37500
28-Jun-25,Dakshina Kannada,Sullya,New Variety,36000,47000,41500
25-Jun-25,Shimoga,Sagar,Rashi,52500,55800,54200
22-Jun-25,Uttara Kannada,Sirsi,Chali,46200,50500,48800
20-Jun-25,Chitradurga,Chitradurga,Bette,38800,40200,39500
18-Jun-25,Tumkur,Tumkur,Rashi,51500,53200,52600
15-Jun-25,Shimoga,Shimoga,Bette,55200,65800,63400
12-Jun-25,Uttara Kannada,Siddapur,Rashi,44200,46500,45500
10-Jun-25,Dakshina Kannada,Puttur,New Variety,26500,45500,30500
08-Jun-25,Shimoga,Thirthahalli,Hasa,71000,90500,82500
05-Jun-25,Chikkamagaluru,Sringeri,Bette,62500,66500,64800
02-Jun-25,Davangere,Davangere,Rashi,54200,55500,54900
30-May-25,Uttara Kannada,Yellapura,Api,67500,71000,69800
28-May-25,Shimoga,Shimoga,Saraku,64500,90000,85500
25-May-25,Chitradurga,Holalkere,Other,24800,27500,26500
22-May-25,Dakshina Kannada,Mangaluru,White Areca,34200,37000,35500
20-May-25,Uttara Kannada,Sirsi,Rashi,48500,57200,55000
18-May-25,Shimoga,Sagar,Kempugotu,34200,38800,36800
15-May-25,Davangere,Channagiri,Rashi,53200,57200,55800
12-May-25,Tumkur,Tumkur,Churu,52000,56500,54800
10-May-25,Shimoga,Shimoga,Rashi,51800,57800,56500
08-May-25,Uttara Kannada,Kumta,Hosa Chali,41800,44500,43500
05-May-25,Chikkamagaluru,Koppa,Gorabalu,27500,30500,29500
02-May-25,Shimoga,Bhadravathi,New Rashi Idi,49200,55500,53400
30-Apr-25,Dakshina Kannada,Puttur,Old Variety,49200,54200,52500
28-Apr-25,Uttara Kannada,Sirsi,Bette,30200,38500,35000
25-Apr-25,Chitradurga,Chitradurga,Api,55500,56800,56200
22-Apr-25,Shimoga,Thirthahalli,Rashi Idi,51500,57800,56900
20-Apr-25,Davangere,Honnali,EDI,25000,27000,26200
18-Apr-25,Uttara Kannada,Siddapur,Kempugotu,28500,32500,31200
15-Apr-25,Shimoga,Sagar,Chali,42000,44500,43200
12-Apr-25,Uttara Kannada,Sirsi,Chali,45800,49500,47800
10-Apr-25,Dakshina Kannada,Mangaluru,White Areca,33000,36000,34500
08-Apr-25,Shimoga,Shimoga,Saraku,62500,89500,84000
05-Apr-25,Davangere,Channagiri,Rashi,52500,56500,54800
02-Apr-25,Tumkur,Tumkur,Rashi,51000,53500,52200
30-Mar-25,Uttara Kannada,Yellapura,Api,66000,70000,68500
28-Mar-25,Chitradurga,Holalkere,Rashi,56500,58800,57800
25-Mar-25,Shimoga,Thirthahalli,Hasa,70000,88000,81500
22-Mar-25,Chikkamagaluru,Sringeri,Bette,61000,65500,63800
20-Mar-25,Uttara Kannada,Sirsi,Bette,29000,37000,33500
